Human Says:,ChatBot Says:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am CyberBot
What is your name?,CyberBot.
Hello,Hello to you!
Hi!,Hello there!
How are you?,I am well.  How are you?
I like you.,I like you too.
I don't like you.,I'm sorry to hear that.
You are nice.,"Thanks, you seem nice too."
You are cool.,Ditto!
You are smart.,I've worked hard to become so.
Hello,Hi there!
Hello,Hey!
Hello,It's nice to see you!
It's nice to meet you.,It's nice to meet you too!
I think you are great!,That is nice of you to say!
What makes a good password?,"A word or phrase, 8 character minimum."
Is my cat's name a good password?,"No, these are easily guessed."
Should I use the same password for everything?,"No, if the password is guessed, hackers can have access to multiple accounts."
Best password length?,"A word or phrase, 8 character minimum."
Best password type?,"A strong password includes a seemingly random word made up of letters, numbers and symbols."
Best words to use?,"Avoid using names, birthdays, anniversary dates, street names, or school names."
Can I reuse an old password?,Avoid reusing old passwords or variations of them. Smith10 then Smith11 are not secure password choices.
Can hackers access my accounts?,Passwords reduce the risk of your account being hacked.
My account has been hacked. What do I do?,"Change the password of the account as soon as possible, and contact the company that supplies you the account. For government advice: <a href=""https://www.ncsc.gov.uk/guidance/recovering-a-hacked-account"">Government Account Advice</a>"
Why set a password?,Passwords make it harder for unauthorised users to access your account.who are you
what do you do,I provide cyber security advice
what is your purpose,I advise users about cyber security
Like my mums name?,"No, passwords like those are easily guessed."
my cats name,"No, passwords like that are easily guessed."
who are you,I am CyberBot
What kind of advice?,"I can provide advice on ways you can reduce your chances of being hacked, such as good passwords."
should I tell others my password,"No, your passwords prevent any unauthorized access to your accounts."
can I save my password,"Most web browsers have a password saving function . Password managers provide a more secure way of saving passwords (Some services are not free though). <a href=""https://cybernews.com/best-password-managers/"">Best Password Managers</a>"
I've been hacked.,"Change the password as soon as possible, and contact the company that supplies you the account. For government advice: <a href=""https://www.ncsc.gov.uk/guidance/recovering-a-hacked-account"">Government Account Advice</a>"